,magnitude_of_delay,delay_in_seconds,luminosity,avg_temperature,avg_atm_pressure,avg_humidity,avg_wind_speed,avg_rain,incidents,National,Regional,day_of_month,week_day,month,hour,day_of_year,season,is_holiday,is_weekend
1308,0,0,2,16.0,1007.0,82.0,0.0,0,3,5,0,27,1,4,10,117,1,0,1
1309,0,0,2,15.0,1011.0,86.0,2.0,0,3,5,0,24,5,4,9,114,1,0,1
1310,2,5515,2,13.0,1023.0,94.0,0.0,0,4,14,2,10,4,12,9,344,3,0,1
1311,2,5282,0,21.0,1017.0,41.0,1.0,0,4,16,0,12,1,10,19,285,2,0,1
1312,0,0,2,6.0,1017.0,94.0,6.0,0,2,8,0,8,2,12,8,342,3,1,1
1313,0,0,0,10.0,1019.0,91.0,0.0,0,3,5,0,3,3,6,4,154,1,1,1
1314,0,0,0,12.0,1016.0,95.0,2.0,0,0,5,0,21,1,12,6,355,3,0,1
1315,0,224,2,12.0,1017.0,78.0,0.0,0,1,5,0,20,0,12,11,354,3,0,1
1316,0,0,0,15.0,1018.0,89.0,1.0,0,0,5,0,11,5,9,5,254,2,0,1
1317,0,0,0,16.0,1023.0,75.0,2.0,0,0,2,0,31,4,12,18,365,3,0,1
1318,0,0,0,11.0,1024.0,94.0,1.0,0,1,5,0,4,5,12,3,338,3,0,1
1319,0,158,2,13.0,1024.0,57.0,3.0,0,2,5,0,29,0,11,13,333,3,0,1
1320,0,436,0,11.0,1028.0,59.0,1.0,0,0,4,0,6,5,11,19,310,2,0,1
1321,0,0,0,7.0,1025.0,94.0,1.0,0,1,5,0,30,1,11,4,334,3,0,1
1322,0,0,0,15.0,1014.0,88.0,1.0,0,0,5,0,25,6,7,5,206,1,0,1
1323,0,0,0,12.0,1023.0,85.0,0.0,0,3,5,0,3,3,6,23,154,1,1,1
1324,0,0,2,12.0,1028.0,66.0,2.0,0,1,0,0,17,6,1,15,17,3,0,1
1325,2,1247,0,8.0,1015.0,94.0,3.0,0,3,11,0,7,1,12,20,341,3,0,1
1326,0,190,2,23.0,1020.0,70.0,0.0,0,1,6,0,9,5,10,13,282,2,0,1
1327,0,0,2,12.0,1029.0,80.0,1.0,0,0,0,0,14,6,3,10,73,0,0,1
1328,0,543,0,16.0,1016.0,63.0,3.0,0,3,6,0,16,4,4,21,106,0,0,1
1329,0,0,0,4.0,1020.0,58.0,2.0,0,0,5,0,15,0,11,4,319,2,0,1
1330,0,0,0,17.0,1020.0,91.0,1.0,0,0,5,0,25,5,9,23,268,3,0,1
1331,0,0,0,11.0,1010.0,84.0,2.0,0,0,0,0,24,4,12,4,358,3,0,1
1332,2,5552,2,15.0,1023.0,79.0,0.0,0,4,9,0,12,6,12,16,346,3,0,1
1333,2,1300,2,22.0,1014.0,77.0,1.0,0,2,8,0,25,6,7,16,206,1,0,1
1334,0,448,2,18.0,1019.0,67.0,5.0,0,4,6,0,8,3,4,13,98,0,0,1
1335,0,0,0,11.0,1020.0,66.0,2.0,0,0,5,0,14,6,11,3,318,2,0,1
1336,0,0,0,8.0,1026.0,88.0,1.0,0,1,5,0,5,6,12,4,339,3,0,1
1337,0,294,2,27.0,1018.0,53.0,0.0,0,4,6,0,14,0,6,16,165,1,0,1
1338,0,0,2,24.0,1018.0,59.0,0.0,0,3,5,0,10,3,6,10,161,1,1,1
1339,0,1679,0,10.0,1027.0,85.0,0.0,0,3,10,0,5,6,12,18,339,3,0,1
1340,0,0,0,8.0,1017.0,93.0,4.0,1,0,2,0,2,3,12,3,336,3,0,1
1341,0,0,0,18.0,1012.0,76.0,2.0,1,0,5,0,24,4,9,5,267,3,0,1
1342,0,0,0,18.0,1021.0,73.0,1.0,0,0,5,0,19,1,10,3,292,2,0,1
1343,0,133,2,21.0,1019.0,55.0,0.0,0,1,5,0,18,5,9,16,261,2,0,1
1344,2,1540,2,13.0,1011.0,93.0,0.0,0,3,8,0,2,1,11,13,306,2,0,1
1345,0,1197,2,11.0,1015.0,47.0,6.0,0,3,7,0,27,5,11,11,331,3,0,1
1346,0,528,2,14.0,1022.0,53.0,0.0,0,1,7,0,18,3,11,14,322,2,0,1
1347,0,0,0,18.0,1018.0,77.0,1.0,0,3,5,0,14,0,6,22,165,1,0,1
1348,0,38,2,10.0,1013.0,84.0,1.0,0,1,0,0,4,3,3,8,63,0,0,1
1349,0,0,0,10.0,1010.0,89.0,1.0,0,3,5,0,10,0,5,0,130,0,0,1
1350,0,337,2,18.0,1021.0,59.0,3.0,0,3,5,0,4,1,5,13,124,0,0,1
1351,0,0,0,7.0,1023.0,81.0,1.0,0,0,5,0,5,4,11,2,309,2,0,1
1352,0,0,2,19.0,1022.0,65.0,3.0,0,0,5,0,7,2,7,12,188,1,0,1
1353,2,5644,2,18.0,1021.0,86.0,3.0,0,4,10,0,20,2,10,17,293,2,0,1
1354,0,0,2,12.0,1026.0,71.0,2.0,0,0,0,0,12,4,3,12,71,0,0,1
1355,0,0,0,11.0,1015.0,71.0,1.0,0,3,5,0,9,4,4,5,99,0,0,1
1356,0,0,0,17.0,1018.0,61.0,2.0,0,2,5,0,25,4,6,5,176,1,0,1
1357,0,0,2,18.0,1016.0,43.0,2.0,0,2,5,0,30,2,6,11,181,1,0,1
1358,2,2108,2,12.0,1013.0,93.0,0.0,1,4,7,1,7,1,12,16,341,3,0,1
1359,0,0,0,5.0,1025.0,66.0,2.0,0,0,0,0,18,5,12,5,352,3,0,1
1360,0,0,0,16.0,1014.0,92.0,1.0,0,0,5,0,6,1,7,2,187,1,0,1
1361,0,0,2,26.0,1015.0,53.0,5.0,0,0,5,0,27,1,7,16,208,1,0,1
1362,0,0,0,15.0,1018.0,92.0,0.0,0,0,5,0,18,5,9,0,261,2,0,1
1363,0,240,2,24.0,1020.0,54.0,1.0,0,1,5,0,8,4,10,13,281,2,0,1
1364,2,7698,2,19.0,1020.0,72.0,3.0,0,4,25,1,6,3,5,18,126,0,0,1
1365,2,1173,2,10.0,1026.0,83.0,1.0,0,3,4,0,3,4,12,13,337,3,0,1
1366,0,0,0,5.0,1024.0,91.0,1.0,0,0,0,0,13,5,3,4,72,0,0,1
1367,0,0,2,13.0,1014.0,87.0,3.0,0,0,5,0,3,6,10,10,276,2,0,1
1368,0,0,0,11.0,1015.0,93.0,1.0,0,0,5,0,2,1,11,3,306,2,0,1
1369,0,0,0,7.0,1025.0,87.0,1.0,0,2,5,0,25,3,3,1,84,1,0,1
1370,0,285,2,13.0,1024.0,62.0,3.0,0,2,6,0,29,0,11,12,333,3,0,1
1371,0,0,2,22.0,1023.0,36.0,0.0,0,2,5,0,28,6,3,15,87,1,0,1
1372,0,0,0,15.0,1016.0,91.0,0.0,0,0,5,0,24,5,7,3,205,1,0,1
1373,0,0,0,10.0,1024.0,94.0,0.0,0,0,2,0,9,3,12,6,343,3,0,1
1374,0,0,2,22.0,1017.0,34.0,4.0,0,0,5,0,18,6,7,14,199,1,0,1
1375,0,0,0,14.0,1008.0,94.0,1.0,0,0,0,0,26,6,12,18,360,3,0,1
1376,0,1953,2,22.0,1015.0,37.0,0.0,0,4,8,0,16,4,4,17,106,0,0,1
1377,0,1551,2,12.0,1019.0,59.0,0.0,0,4,9,3,4,1,5,8,124,0,0,1
1378,0,0,0,12.0,1015.0,92.0,0.0,1,0,5,0,20,0,12,22,354,3,0,1
1379,0,729,2,18.0,1019.0,72.0,4.0,0,4,9,0,8,3,4,14,98,0,0,1
1380,0,0,0,6.0,1024.0,83.0,1.0,0,0,5,0,5,4,11,4,309,2,0,1
1381,0,0,1,17.0,1022.0,68.0,1.0,0,0,5,0,8,3,7,20,189,1,0,1
1382,0,0,0,19.0,1019.0,56.0,2.0,0,2,5,0,25,4,6,1,176,1,0,1
1383,0,0,0,10.0,1011.0,91.0,0.0,0,1,0,0,21,3,1,2,21,3,0,1
1384,0,0,1,11.0,1015.0,91.0,2.0,0,0,0,0,22,2,12,8,356,3,0,1
1385,2,4321,0,12.0,1022.0,79.0,0.0,0,4,10,1,13,0,12,17,347,3,0,1
1386,0,0,0,10.0,1025.0,63.0,2.0,0,0,2,0,15,2,12,0,349,3,0,1
1387,0,0,0,13.0,1017.0,91.0,0.0,0,2,5,0,2,4,4,23,92,0,1,1
1388,0,0,0,14.0,1012.0,72.0,2.0,0,3,5,0,15,3,4,2,105,0,0,1
1389,0,0,0,11.0,1010.0,93.0,0.0,1,0,0,0,26,6,12,1,360,3,0,1
1390,0,0,0,11.0,1018.0,87.0,3.0,0,0,0,0,6,5,3,0,65,0,0,1
1391,0,0,2,17.0,1008.0,79.0,1.0,0,3,5,0,25,6,4,15,115,1,1,1
1392,2,1046,2,13.0,1013.0,94.0,4.0,0,2,7,0,2,1,11,10,306,2,0,1
1393,0,0,2,9.0,1019.0,93.0,7.0,0,3,9,0,8,2,12,14,342,3,1,1
1394,2,7249,2,20.0,1017.0,55.0,0.0,0,4,16,0,22,2,9,18,265,3,0,1
1395,0,524,0,8.0,1014.0,87.0,0.0,0,2,5,0,27,5,11,0,331,3,0,1
1396,0,0,0,11.0,1016.0,93.0,0.0,1,0,5,0,20,0,12,23,354,3,0,1
1397,0,0,0,16.0,1021.0,76.0,0.0,0,0,5,0,18,5,9,21,261,2,0,1
1398,0,0,0,16.0,1021.0,85.0,1.0,0,0,5,0,14,2,7,2,195,1,0,1
1399,0,0,0,17.0,1022.0,69.0,2.0,0,0,5,0,7,3,10,1,280,2,0,1
1400,0,0,0,12.0,1020.0,75.0,1.0,0,0,5,0,14,6,11,21,318,2,0,1
1401,0,0,2,16.0,1017.0,45.0,2.0,0,0,5,0,22,3,7,12,203,1,0,1
1402,0,0,0,12.0,1021.0,85.0,0.0,0,0,5,0,4,0,10,0,277,2,0,1
1403,0,0,2,13.0,1024.0,58.0,0.0,0,0,5,0,18,3,11,11,322,2,0,1
1404,0,0,1,17.0,1020.0,69.0,1.0,0,3,5,0,8,1,6,20,159,1,0,1
1405,0,0,0,17.0,1018.0,59.0,2.0,0,2,5,0,25,4,6,4,176,1,0,1
1406,0,0,0,13.0,1018.0,92.0,0.0,0,2,5,0,2,4,7,5,183,1,0,1
1407,0,491,2,20.0,1021.0,75.0,3.0,0,1,7,0,26,6,9,15,269,3,0,1
1408,0,606,2,16.0,1017.0,62.0,1.0,0,1,5,0,22,3,7,10,203,1,0,1
1409,2,2759,2,10.0,1026.0,66.0,1.0,0,4,8,0,5,4,11,9,309,2,0,1
1410,0,736,2,19.0,1016.0,80.0,0.0,0,1,7,0,25,5,9,15,268,3,0,1
1411,0,234,0,11.0,1022.0,79.0,2.0,0,0,3,0,30,3,12,20,364,3,0,1
1412,0,0,2,24.0,1022.0,51.0,4.0,0,0,5,0,8,3,7,16,189,1,0,1
1413,0,343,0,14.0,1024.0,93.0,0.0,0,1,6,0,29,2,12,19,363,3,0,1
1414,0,0,0,15.0,1015.0,87.0,0.0,0,2,5,0,18,4,6,22,169,1,0,1
1415,0,0,0,8.0,1013.0,79.0,2.0,0,0,5,0,22,0,11,4,326,3,0,1
1416,0,2141,2,19.0,1018.0,68.0,0.0,0,4,7,1,29,1,6,19,180,1,0,1
1417,0,315,2,6.0,1020.0,59.0,0.0,0,1,0,0,9,1,3,8,68,0,0,1
1418,0,0,2,26.0,1018.0,50.0,4.0,0,3,5,0,10,3,6,13,161,1,1,1
1419,0,0,2,18.0,1016.0,54.0,2.0,0,3,5,0,11,6,4,19,101,0,0,1
1420,0,143,2,8.0,1023.0,87.0,0.0,0,3,6,0,26,4,3,8,85,1,0,1
1421,0,75,0,11.0,1021.0,72.0,1.0,0,1,6,0,16,1,11,22,320,2,0,1
1422,0,0,0,13.0,1021.0,72.0,2.0,1,0,5,0,20,5,11,6,324,2,0,1
1423,0,0,0,15.0,1020.0,59.0,1.0,0,0,5,0,15,4,10,3,288,2,0,1
1424,0,0,0,6.0,1012.0,79.0,1.0,0,0,5,0,23,1,11,4,327,3,0,1
1425,0,0,0,12.0,1026.0,93.0,1.0,0,0,0,0,27,2,1,3,27,3,0,1
1426,0,0,0,23.0,1016.0,44.0,1.0,0,0,5,0,17,5,7,1,198,1,0,1
1427,0,0,0,7.0,1024.0,83.0,1.0,0,1,5,0,2,3,12,20,336,3,0,1
1428,0,0,2,12.0,1025.0,64.0,1.0,0,0,0,0,10,2,3,11,69,0,0,1
1429,0,873,2,18.0,1014.0,93.0,4.0,0,1,7,0,2,5,10,16,275,2,0,1
1430,0,0,0,13.0,1011.0,76.0,2.0,0,3,5,0,23,4,4,6,113,1,0,1
1431,0,0,0,10.0,1022.0,86.0,1.0,0,1,3,0,4,4,6,4,155,1,0,1
1432,0,0,0,10.0,1019.0,93.0,1.0,0,0,5,0,12,4,11,4,316,2,0,1
1433,0,0,1,16.0,1016.0,93.0,1.0,0,0,5,0,17,6,10,7,290,2,0,1
1434,0,459,2,12.0,1027.0,58.0,1.0,0,3,2,0,16,1,3,8,75,0,0,1
1435,0,0,0,15.0,1010.0,83.0,0.0,0,2,5,0,1,3,4,4,91,0,0,1
1436,0,0,0,20.0,1018.0,66.0,1.0,0,0,5,0,9,4,7,23,190,1,0,1
1437,0,0,0,17.0,1017.0,55.0,2.0,0,1,5,0,23,3,9,1,266,3,0,1
1438,0,0,2,16.0,1021.0,77.0,1.0,0,0,5,0,28,0,6,9,179,1,0,1
1439,0,0,2,9.0,1011.0,91.0,5.0,1,0,0,0,23,5,1,10,23,3,0,1
1440,0,28,2,18.0,1017.0,79.0,0.0,0,1,6,0,16,5,10,14,289,2,0,1
1441,0,172,2,14.583,1018.0,35.0,1.0,0,3,7,0,25,4,6,13,176,1,0,1
1442,0,151,2,22.0,1011.0,73.0,2.0,0,3,6,0,16,2,6,14,167,1,0,1
1443,0,0,0,11.0,1023.0,98.0,1.0,0,0,1,0,28,6,11,23,332,3,0,1
1444,0,0,0,16.0,1019.0,90.0,0.0,0,0,5,0,4,6,7,2,185,1,0,1
1445,0,0,0,8.0,1015.0,94.0,0.0,0,2,8,0,8,2,12,0,342,3,1,1
1446,0,0,2,19.0,1024.0,70.0,2.0,0,0,5,0,28,1,9,13,271,3,0,1
1447,0,0,0,15.0,1017.0,72.0,1.0,0,3,5,0,11,6,4,21,101,0,0,1
1448,0,0,2,19.0,1020.0,62.0,0.0,0,0,5,0,18,5,9,13,261,2,0,1
1449,0,313,2,15.0,1019.0,44.0,1.0,0,1,0,1,9,1,3,14,68,0,0,1
1450,0,0,0,18.0,1018.0,90.0,0.0,0,0,5,0,16,3,9,0,259,2,0,1
1451,0,376,0,15.0,1024.0,76.0,2.0,0,0,2,0,31,4,12,19,365,3,0,1
1452,0,0,0,20.0,1017.0,79.0,3.0,0,3,5,0,11,4,6,21,162,1,0,1
1453,0,0,0,14.0,1013.0,86.0,0.0,0,3,5,0,2,2,6,2,153,1,0,1
1454,0,0,0,14.0,1010.0,89.0,2.0,0,3,5,0,24,5,4,6,114,1,0,1
1455,0,0,0,16.0,1022.0,91.0,1.0,0,0,5,0,27,0,9,1,270,3,0,1
1456,2,35,2,12.0,1023.0,75.0,0.0,0,0,0,0,13,0,12,10,347,3,0,1
1457,0,1023,2,21.0,1016.0,36.0,1.0,0,2,8,0,26,0,7,12,207,1,0,1
1458,0,218,0,13.0,1023.0,62.0,2.0,0,3,6,0,27,5,3,22,86,1,0,1
1459,0,387,2,14.0,1018.0,92.0,1.0,0,3,7,0,22,1,6,8,173,1,0,1
1460,0,421,2,10.0,1027.0,78.0,0.0,0,1,3,0,3,4,12,11,337,3,0,1
1461,0,0,0,10.0,1022.0,83.0,0.0,0,0,0,0,13,0,12,2,347,3,0,1
1462,0,0,0,15.0,1022.0,83.0,1.0,0,0,5,0,20,0,9,3,263,2,0,1
1463,0,0,0,16.0,1024.0,77.0,2.0,0,0,0,0,16,1,3,20,75,0,0,1
1464,2,757,2,17.0,1015.0,91.0,3.0,0,2,10,0,5,0,7,19,186,1,0,1
1465,0,0,0,10.0,1017.0,66.0,1.0,0,0,5,0,28,3,10,7,301,3,0,1
1466,0,191,2,18.0,1023.0,68.0,2.0,0,1,6,0,20,0,9,10,263,2,0,1
1467,2,0,0,13.0,1019.0,80.0,0.0,0,1,8,0,10,2,11,22,314,2,0,1
1468,0,0,0,12.0,1016.0,87.0,2.0,0,3,5,0,16,4,4,4,106,0,0,1
1469,0,0,0,13.0,1017.0,89.0,0.0,0,2,5,0,30,2,6,3,181,1,0,1
1470,0,0,0,12.0,1018.0,75.0,3.0,0,0,5,0,20,0,12,1,354,3,0,1
1471,0,0,0,13.0,1016.0,59.0,1.0,0,3,5,0,8,3,4,4,98,0,0,1
1472,0,0,2,19.0,1016.0,78.0,2.0,0,3,5,0,12,5,6,6,163,1,0,1
1473,0,0,0,16.0,1020.0,91.0,0.0,0,0,5,0,26,6,9,3,269,3,0,1
1474,0,0,0,12.0,1016.0,66.0,1.0,0,3,5,0,8,3,4,3,98,0,0,1
1475,0,774,2,19.0,1021.0,79.0,0.0,0,2,8,1,9,4,7,8,190,1,0,1
1476,2,2408,2,12.0,1016.0,48.0,3.0,0,4,8,2,26,4,11,15,330,3,0,1
1477,0,0,0,16.0,1019.0,91.0,1.0,0,0,5,0,4,6,7,5,185,1,0,1
1478,0,0,0,12.0,1016.0,89.0,1.0,0,3,5,0,8,5,5,3,128,0,0,1
1479,0,0,0,12.0,1013.0,78.0,2.0,0,3,5,0,10,5,4,0,100,0,0,1
1480,2,3979,2,18.0,1013.0,77.0,2.0,0,4,14,0,6,1,4,19,96,0,0,1
1481,2,0,1,12.0,1018.0,67.0,2.0,0,1,8,0,10,2,11,7,314,2,0,1
1482,0,0,0,8.0,1013.0,79.0,1.0,0,0,5,0,22,0,11,3,326,3,0,1
1483,0,404,2,21.0,1020.0,35.0,0.0,0,1,6,0,9,4,7,10,190,1,0,1
1484,0,383,1,13.0,1022.0,92.0,1.0,0,1,6,0,21,3,10,7,294,3,0,1
1485,0,0,1,20.0,1017.0,70.0,0.0,0,3,5,0,13,6,6,5,164,1,0,1
1486,2,3051,2,16.0,1017.0,67.0,1.0,0,4,10,0,12,4,11,16,316,2,0,1
1487,0,0,2,14.0,1013.0,83.0,1.0,0,3,5,0,2,2,6,6,153,1,0,1
1488,0,793,0,16.0,1019.0,64.0,1.0,0,1,6,0,27,2,10,21,300,3,0,1
1489,0,0,0,14.0,1021.0,93.0,1.0,0,0,5,0,5,1,10,2,278,2,1,1
1490,0,0,2,12.0,1009.0,91.0,4.0,0,1,0,0,21,3,1,13,21,3,0,1
1491,0,0,1,12.0,1021.0,81.0,1.0,0,0,5,0,19,6,9,7,262,2,0,1
1492,0,0,0,13.0,1013.0,88.0,1.0,0,2,5,0,20,6,6,0,171,1,0,1
1493,2,3084,0,14.0,1019.0,81.0,1.0,0,4,13,0,11,3,11,17,315,2,0,1
1494,0,1158,2,23.0,1016.0,31.0,0.0,0,4,10,0,5,0,4,15,95,0,0,1
1495,0,107,0,12.0,1022.0,83.0,1.0,0,1,5,0,22,4,10,0,295,3,0,1
1496,0,586,2,18.0,1023.0,61.0,0.0,0,0,2,0,31,4,12,13,365,3,0,1
1497,0,0,0,13.0,1017.0,86.0,0.0,0,3,5,0,8,5,5,1,128,0,0,1
1498,0,0,0,13.0,1026.0,93.0,1.0,0,0,0,0,26,1,1,23,26,3,0,1
1499,0,0,0,12.0,1020.0,92.0,1.0,0,0,0,0,26,1,1,5,26,3,0,1
1500,0,0,2,16.0,1016.0,92.0,0.0,0,0,5,0,20,1,7,8,201,1,0,1
1501,0,0,0,16.0,1015.0,63.0,4.0,0,3,5,0,4,6,4,21,94,0,1,1
1502,0,179,2,17.0,1017.0,67.0,0.0,0,1,5,0,3,6,10,16,276,2,0,1
1503,0,0,2,15.0,1019.0,92.0,0.0,0,0,5,0,4,6,7,6,185,1,0,1
1504,0,0,2,22.0,1012.0,73.0,0.0,0,2,5,0,16,2,6,12,167,1,0,1
1505,0,0,2,16.0,1023.0,93.0,0.0,0,0,5,0,27,0,9,11,270,3,0,1
1506,0,0,2,15.0,1008.0,92.0,0.0,0,3,5,0,25,6,4,13,115,1,1,1
1507,0,312,2,14.0,1022.0,53.0,0.0,0,1,5,0,18,3,11,16,322,2,0,1
1508,0,0,0,9.0,1024.0,94.0,2.0,0,0,2,0,9,3,12,4,343,3,0,1
1509,0,129,2,21.0,1011.0,75.0,3.0,0,3,6,0,16,2,6,16,167,1,0,1
1510,2,2037,2,18.0,1017.0,64.0,2.0,0,3,10,0,23,3,9,9,266,3,0,1
1511,0,0,2,12.0,1019.0,93.0,2.0,0,0,0,0,1,0,2,12,32,3,0,1
1512,0,0,0,13.0,1020.0,67.0,4.0,0,2,5,0,30,1,3,7,89,1,0,1
1513,0,0,1,11.0,1008.0,94.0,1.0,1,0,0,0,26,6,12,8,360,3,0,1
1514,0,298,2,8.0,1020.0,59.0,1.0,0,1,0,0,19,4,3,9,78,0,0,1
1515,0,0,0,13.0,1023.0,76.0,1.0,0,0,5,0,26,1,10,0,299,3,0,1
1516,0,283,2,11.0,1014.0,84.0,2.0,0,1,6,0,3,2,11,11,307,2,0,1
1517,0,0,2,15.0,1016.0,92.0,0.0,0,0,5,0,27,1,7,7,208,1,0,1
1518,0,0,0,10.0,1024.0,62.0,2.0,0,0,2,0,15,2,12,3,349,3,0,1
1519,0,2288,2,15.0,1012.0,92.0,0.0,1,4,11,0,18,4,6,8,169,1,0,1
1520,2,765,1,17.0,1018.0,90.0,0.0,1,2,9,0,2,4,7,20,183,1,0,1
1521,2,4121,2,12.0,1014.0,94.0,2.0,0,4,13,1,2,1,11,8,306,2,0,1
1522,0,0,0,14.0,1021.0,93.0,1.0,0,0,5,0,21,3,10,4,294,3,0,1
1523,0,133,0,18.0,1020.0,85.0,0.0,0,1,6,0,10,4,9,21,253,2,0,1
1524,0,0,0,13.0,1017.0,90.0,2.0,0,0,5,0,1,0,11,20,305,2,1,1
1525,0,0,0,15.0,1016.0,72.0,3.0,0,3,5,0,4,6,4,22,94,0,1,1
1526,2,1227,2,20.0,1020.0,81.0,0.0,0,3,10,0,9,5,10,11,282,2,0,1
1527,0,0,2,13.0,1026.0,65.0,3.0,0,0,0,0,13,5,3,13,72,0,0,1
1528,0,510,2,26.0,1021.0,37.0,1.0,0,1,8,0,7,3,10,15,280,2,0,1
1529,0,0,0,15.0,1018.0,82.0,0.0,0,0,5,0,16,5,10,2,289,2,0,1
1530,0,0,0,15.0,1023.0,66.0,0.0,0,3,5,0,5,5,6,21,156,1,0,1
1531,0,0,2,19.0,1016.0,52.0,3.0,0,3,5,0,11,6,4,18,101,0,0,1
1532,0,0,2,15.0,1022.0,52.0,0.0,0,0,5,0,18,3,11,15,322,2,0,1
1533,0,0,0,16.0,1023.0,93.0,0.0,0,0,5,0,28,1,9,0,271,3,0,1
1534,0,0,0,12.0,1017.0,93.0,1.0,0,1,0,0,31,6,1,21,31,3,0,1
1535,0,138,2,15.0,1014.0,93.0,1.0,0,1,5,0,25,5,9,9,268,3,0,1
1536,0,821,2,20.0,1021.0,58.0,0.0,0,2,7,0,28,0,6,17,179,1,0,1
1537,2,1870,2,14.0,1010.0,88.0,2.0,1,4,11,0,21,2,4,14,111,1,0,1
1538,0,185,2,24.0,1022.0,45.0,0.0,0,1,6,0,7,3,10,12,280,2,0,1
1539,0,0,0,15.0,1013.0,93.0,1.0,2,0,5,0,25,5,9,7,268,3,0,1
1540,2,3909,0,10.0,1016.0,66.0,2.0,0,4,5,0,26,4,11,17,330,3,0,1
1541,0,494,2,10.0,1014.0,62.0,3.0,0,4,8,0,7,2,4,9,97,0,0,1
1542,0,0,0,8.0,1026.0,90.0,1.0,0,1,5,0,5,6,12,7,339,3,0,1
1543,0,0,0,17.0,1015.0,92.0,0.0,0,0,5,0,26,0,7,4,207,1,0,1
1544,2,2723,2,6.0,1019.0,80.0,0.0,0,4,11,0,2,3,12,8,336,3,0,1
1545,2,950,2,15.0,1019.0,60.0,1.0,0,3,11,0,10,2,11,9,314,2,0,1
1546,0,3512,2,23.0,1021.0,46.0,3.0,0,3,5,0,19,6,9,15,262,2,0,1
1547,0,0,2,17.0,1014.0,73.0,2.0,0,3,5,0,2,2,6,9,153,1,0,1
1548,2,6137,2,17.0,1016.0,92.0,3.0,0,4,22,0,17,4,9,18,260,2,0,1
1549,0,0,0,14.0,1021.0,75.0,1.0,0,0,5,0,19,6,9,3,262,2,0,1
1550,0,0,0,18.0,1010.0,91.0,1.0,0,0,5,0,14,1,9,0,257,2,0,1
1551,0,221,2,12.0,1021.0,75.0,0.0,0,3,6,0,8,1,6,7,159,1,0,1
1552,0,0,2,19.0,1019.0,75.0,0.0,0,0,5,0,4,6,7,17,185,1,0,1
1553,0,0,0,14.0,1026.0,68.0,1.0,0,0,5,0,30,3,9,1,273,3,0,1
1554,0,403,2,28.0,1013.0,52.0,0.0,1,4,7,0,11,4,6,16,162,1,0,1
1555,0,0,2,15.0,1020.0,41.0,1.0,0,0,0,0,20,5,3,14,79,0,0,1
1556,0,995,2,20.0,1020.0,76.0,3.0,0,2,9,0,26,6,9,17,269,3,0,1
1557,0,0,2,20.0,1016.0,28.0,0.0,0,3,5,0,4,6,4,13,94,0,1,1
1558,0,0,0,18.0,1019.0,90.0,0.0,0,0,5,0,18,6,7,5,199,1,0,1
1559,0,0,0,16.0,1018.0,78.0,0.0,0,2,5,0,29,1,6,21,180,1,0,1
1560,0,0,0,13.0,1013.0,85.0,1.0,0,3,5,0,23,4,4,0,113,1,0,1
1561,0,609,2,20.0,1016.0,55.0,3.0,0,1,7,0,24,5,7,12,205,1,0,1
1562,2,1605,0,13.0,1019.0,82.0,1.0,0,3,10,0,12,4,11,20,316,2,0,1
1563,0,0,2,14.583,1017.0,42.0,2.0,0,3,5,0,12,5,6,15,163,1,0,1
1564,0,0,0,9.0,1026.0,93.0,0.0,0,0,5,0,11,5,12,6,345,3,0,1
1565,0,0,2,14.583,1018.0,43.0,2.0,0,0,5,0,10,5,7,14,191,1,0,1
1566,2,1658,2,18.0,1017.0,49.0,1.0,0,4,13,0,10,2,11,14,314,2,0,1
1567,0,208,2,6.0,1019.0,61.0,0.0,0,1,0,0,19,4,3,7,78,0,0,1
1568,0,136,2,20.0,1020.0,59.0,2.0,0,3,5,0,29,1,6,12,180,1,0,1
1569,0,0,0,10.0,1013.0,88.0,2.0,0,2,5,0,4,6,4,6,94,0,1,1
1570,0,0,0,16.0,1018.0,88.0,0.0,1,0,5,0,16,5,10,20,289,2,0,1
1571,0,0,2,23.0,1022.0,31.0,2.0,0,2,5,0,28,6,3,18,87,1,0,1
1572,0,0,2,21.0,1023.0,34.0,0.0,0,0,5,0,8,3,7,11,189,1,0,1
1573,0,0,0,21.0,1015.0,63.0,2.0,0,3,5,0,12,5,6,1,163,1,0,1
1574,0,0,0,5.0,1028.0,81.0,1.0,0,1,0,0,17,6,1,23,17,3,0,1
1575,0,185,2,7.0,1021.0,93.0,1.0,0,1,0,0,22,0,3,7,81,1,0,1
1576,0,0,1,17.0,1014.0,79.0,1.0,0,2,5,0,18,4,6,20,169,1,0,1
1577,0,0,0,18.0,1011.0,83.0,0.0,0,2,5,0,17,3,6,1,168,1,0,1
1578,0,0,0,11.0,1025.0,54.0,2.0,0,0,5,0,16,3,12,1,350,3,0,1
1579,0,0,0,10.0,1023.0,84.0,0.0,0,0,0,0,13,0,12,0,347,3,0,1
1580,0,0,0,14.0,1016.0,96.0,1.0,0,0,5,0,24,5,7,5,205,1,0,1
1581,0,0,0,7.0,1015.0,94.0,0.0,0,2,8,0,8,2,12,1,342,3,1,1
1582,0,0,0,12.0,1007.0,81.0,0.0,0,3,5,0,28,2,4,22,118,1,0,1
1583,0,0,0,15.0,1015.0,65.0,0.0,0,3,5,0,15,3,4,23,105,0,0,1
1584,0,298,2,13.0,1013.0,91.0,1.0,0,3,5,0,22,3,4,10,112,1,0,1
